code,locality,province,locality_url,event_count
maselspoort,Maselspoort,Free State,/events/south-africa/free-state/maselspoort,1
masanteng,Masanteng,Limpopo,/events/south-africa/limpopo/masanteng,1
marulaneng,Marulaneng,Limpopo,/events/south-africa/limpopo/marulaneng,1
marble-hall,Marble Hall,Limpopo,/events/south-africa/limpopo/marble-hall,1
bluff,Bluff,Kwazulu Natal,/events/south-africa/kwazulu-natal/bluff,1
maletswai,Maletswai,Eastern Cape,/events/south-africa/eastern-cape/maletswai,1
mahikeng,Mahikeng,North West,/events/south-africa/north-west/mahikeng,1
lutzville,Lutzville,Western Cape,/events/south-africa/western-cape/lutzville,1
lothair,Lothair,Mpumalanga,/events/south-africa/mpumalanga/lothair,1
lanseria,Lanseria,Gauteng,/events/south-africa/gauteng/lanseria,1
ladismith,Ladismith,Western Cape,/events/south-africa/western-cape/ladismith,1
lagulhas,L'Agulhas,Western Cape,/events/south-africa/western-cape/lagulhas,1
kyalami,Kyalami,Gauteng,/events/south-africa/gauteng/kyalami,1
kwazulu-natal,KwaZulu-Natal,Kwazulu Natal,/events/south-africa/kwazulu-natal/kwazulu-natal,1
kwazulu-natal,Kwazulu Natal,Kwazulu Natal,/events/south-africa/kwazulu-natal/kwazulu-natal,1
kwambonambi,Kwambonambi,Kwazulu Natal,/events/south-africa/kwazulu-natal/kwambonambi,1
kwamashu,KwaMashu,Kwazulu Natal,/events/south-africa/kwazulu-natal/kwamashu,1
kwadukuza,KwaDukuza,Kwazulu Natal,/events/south-africa/kwazulu-natal/kwadukuza,1
bethlehem,Bethlehem,Free State,/events/south-africa/free-state/bethlehem,1
kroonstad,Kroonstad,Free State,/events/south-africa/free-state/kroonstad,1
komatipoort,Komatipoort,Mpumalanga,/events/south-africa/mpumalanga/komatipoort,1
komani,Komani,Eastern Cape,/events/south-africa/eastern-cape/komani,1
kliprivier,Kliprivier,Gauteng,/events/south-africa/gauteng/kliprivier,1
kingsburgh,Kingsburgh,Kwazulu Natal,/events/south-africa/kwazulu-natal/kingsburgh,1
khumbula,Khumbula,Mpumalanga,/events/south-africa/mpumalanga/khumbula,1
keurboomstrand,Keurboomstrand,Western Cape,/events/south-africa/western-cape/keurboomstrand,1
kasouga,Kasouga,Eastern Cape,/events/south-africa/eastern-cape/kasouga,1
kaapstad,Kaapstad,Wes Kaap,/events/south-africa/wes-kaap/kaapstad,1
kaapschehoop,Kaapschehoop,Mpumalanga,/events/south-africa/mpumalanga/kaapschehoop,1
johannnesburg,Johannnesburg,Gauteng,/events/south-africa/gauteng/johannnesburg,1
johannesdal,Johannesdal,Western Cape,/events/south-africa/western-cape/johannesdal,1
jacobsbaai,Jacobsbaai,Western Cape,/events/south-africa/western-cape/jacobsbaai,1
jacobs-bay,Jacobs Bay,Western Cape,/events/south-africa/western-cape/jacobs-bay,1
hout-bay,Hout Bay,Western Cape,/events/south-africa/western-cape/hout-bay,1
hogsback,Hogsback,Eastern Cape,/events/south-africa/eastern-cape/hogsback,1
hendrina,Hendrina,Mpumalanga,/events/south-africa/mpumalanga/hendrina,1
hazyview,Hazyview,Mpumalanga,/events/south-africa/mpumalanga/hazyview,1
hartswater,Hartswater,Northern Cape,/events/south-africa/northern-cape/hartswater,1
harold-johnson-nature-reserve,Harold Johnson Nature Reserve,Kwazulu Natal,/events/south-africa/kwazulu-natal/harold-johnson-nature-reserve,1
haenertsburg,Haenertsburg,Limpopo,/events/south-africa/limpopo/haenertsburg,1
groblersdal,Groblersdal,Limpopo,/events/south-africa/limpopo/groblersdal,1
greytown,Greytown,Kwazulu Natal,/events/south-africa/kwazulu-natal/greytown,1
free-state,Free State,South Africa,/events/south-africa/free-state,0
fochville,Fochville,Gauteng,/events/south-africa/gauteng/fochville,0
